Date,Impressions,Installations,Uninstallations,Total Current Users,"Data From June 12, 2013 To October 31, 2018.
Uninstallation data is only available after April 25, 2016"
2013-06-12,14,3,,3,
2013-06-13,405,1,,3,
2013-06-14,895,2,,6,
2013-06-15,957,1,,6,
2013-06-16,450,2,,8,
2013-06-17,663,0,,9,
2013-06-18,521,2,,11,
2013-06-19,304,1,,12,
2013-06-20,234,1,,13,
2013-06-21,760,0,,13,
2013-06-22,720,0,,14,
2013-06-23,658,1,,13,
2013-06-24,614,2,,15,
2013-06-25,546,0,,13,
2013-06-26,466,1,,14,
2013-06-27,186,2,,14,
2013-06-28,189,2,,16,
2013-06-29,186,0,,16,
2013-06-30,179,0,,16,
2013-07-01,249,0,,16,
2013-07-02,347,0,,16,
2013-07-03,378,2,,18,
2013-07-04,351,2,,18,
2013-07-05,352,1,,18,
2013-07-06,326,0,,19,
2013-07-07,290,0,,20,
2013-07-08,265,0,,20,
2013-07-09,319,1,,19,
2013-07-10,292,0,,19,
2013-07-11,330,2,,22,
2013-07-12,314,1,,24,
2013-07-13,353,2,,26,
2013-07-14,335,0,,25,
2013-07-15,353,1,,26,
2013-07-16,313,1,,27,
2013-07-17,359,0,,28,
2013-07-18,326,2,,31,
2013-07-19,299,1,,31,
2013-07-20,344,0,,31,
2013-07-21,359,0,,30,
2013-07-22,341,0,,30,
2013-07-23,354,2,,32,
2013-07-24,371,1,,35,
2013-07-25,377,1,,36,
2013-07-26,361,0,,37,
2013-07-27,361,0,,37,
2013-07-28,370,0,,37,
2013-07-29,356,2,,38,
2013-07-30,329,0,,38,
2013-07-31,379,2,,38,
2013-08-01,349,2,,40,
2013-08-02,356,1,,41,
2013-08-03,308,0,,43,
2013-08-04,352,2,,43,
2013-08-05,322,1,,42,
2013-08-06,344,1,,41,
2013-08-07,323,0,,41,
2013-08-08,312,0,,43,
2013-08-09,381,0,,42,
2013-08-10,415,1,,41,
2013-08-11,397,1,,43,
2013-08-12,363,0,,39,
2013-08-13,364,0,,39,
2013-08-14,458,1,,40,
2013-08-15,389,0,,40,
2013-08-16,393,1,,41,
2013-08-17,456,0,,39,
2013-08-18,411,0,,39,
2013-08-19,361,0,,39,
2013-08-20,394,1,,39,
2013-08-21,452,1,,38,
2013-08-22,418,1,,39,
2013-08-23,400,0,,39,
2013-08-24,369,4,,42,
2013-08-25,394,1,,45,
2013-08-26,362,1,,45,
2013-08-27,356,1,,48,
2013-08-28,378,0,,51,
2013-08-29,341,0,,51,
2013-08-30,397,1,,50,
2013-08-31,345,0,,50,
2013-09-01,358,1,,47,
2013-09-02,308,0,,47,
2013-09-03,378,0,,45,
2013-09-04,334,2,,45,
2013-09-05,386,1,,48,
2013-09-06,401,0,,50,
2013-09-07,433,2,,50,
2013-09-08,402,1,,54,
2013-09-09,392,1,,57,
2013-09-10,416,0,,56,
2013-09-11,390,1,,55,
2013-09-12,423,0,,55,
2013-09-13,397,0,,55,
2013-09-14,388,0,,56,
2013-09-15,481,2,,55,
2013-09-16,423,1,,55,
2013-09-17,378,2,,58,
